"","mz","VIP"
"189.05924","189.05924",11.8554370903975
"255.23560","255.23560",11.4339465842202
"281.25299","281.25299",10.0407848085757
"279.23647","279.23647",8.60395098182127
"243.06543","243.06543",7.45360289233111
"267.07775","267.07775",7.43675317272727
"89.02566","89.02566",6.5336568754823
"346.05835","346.05835",5.49254534372529
"253.21990","253.21990",5.15552602045688
"295.23102","295.23102",5.03384490449582
"151.02795","151.02795",5.0187864886126
"327.23533","327.23533",4.91261356883278
"333.09967","333.09967",4.62896139280834
"188.06290","188.06290",4.08355411793742
"269.09247","269.09247",4.08162571594714
"145.06363","145.06363",4.06168405309761
"297.24896","297.24896",3.97163912341662
"279.09167","279.09167",3.79542773338408
"283.26652","283.26652",3.65544732902226
"306.07851","306.07851",3.12976065144555
"311.22842","311.22842",2.92315627416355
"302.06909","302.06909",2.87017367629729
"214.05205","214.05205",2.84528066820415
"167.02308","167.02308",2.60335338018253
"329.25447","329.25447",2.47157489286695
"175.02712","175.02712",2.43852131184106
"221.08487","221.08487",2.43821721522962
"377.09185","377.09185",2.38266683498261
"323.03356","323.03356",2.31856837013756
"389.25091","389.25091",2.30736186451214
"738.51239","738.51239",2.28966890495857
"269.21626","269.21626",2.16110775684062
"179.05761","179.05761",2.14542803580684
"227.20451","227.20451",2.11429672642094
"115.00463","115.00463",2.01990628349603
"146.04740","146.04740",2.00209762029319
"792.54305","792.54305",1.84502980151566
"134.04797","134.04797",1.83865623461613
"117.02102","117.02102",1.72831212025922
"277.07741","277.07741",1.71161277034931
"171.10452","171.10452",1.68734398147619
"539.14372","539.14372",1.59155411136619
"356.11777","356.11777",1.58577068304397
"143.00061","143.00061",1.57987430858456
"391.25725","391.25725",1.57397916820572
"379.08625","379.08625",1.56702724391925
"197.12092","197.12092",1.5440933925761
"762.51405","762.51405",1.53597550585063
"272.09269","272.09269",1.48253714030083
"651.49041","651.49041",1.47766034233613
"118.05262","118.05262",1.45427594264661
"431.14599","431.14599",1.4378921742956
"699.48108","699.48108",1.40285479629185
"199.13653","199.13653",1.39454790104941
"367.11078","367.11078",1.36302263262981
"242.08268","242.08268",1.3613558965362
"187.04491","187.04491",1.33211524271693
"766.54384","766.54384",1.32270272645165
"885.55754","885.55754",1.31455064989989
"171.00839","171.00839",1.3050869436984
"132.03203","132.03203",1.28743843294518
"154.06454","154.06454",1.2599875367178
"334.10342","334.10342",1.24334651733596
"512.27541","512.27541",1.22771860131018
"286.06269","286.06269",1.16165042228926
"203.02464","203.02464",1.16016378041524
"764.52578","764.52578",1.15698698727278
"271.23011","271.23011",1.14849738492182
"201.03967","201.03967",1.12320779292411
"767.54382","767.54382",1.11415004588647
"740.52184","740.52184",1.10114457414471
"439.09023","439.09023",1.09830278977249
"507.29948","507.29948",1.07094049543638
"790.54346","790.54346",1.06265990707187
"439.25232","439.25232",1.05330832834375
"794.54400","794.54400",1.05328732009172
"705.50931","705.50931",1.04797289461801
"96.97024","96.97024",1.03497034542532
"200.05869","200.05869",1.0153981750476
"819.54236","819.54236",0.998914823599041
"679.28496","679.28496",0.983138471413482
"73.02984","73.02984",0.982208000034191
"102.05657","102.05657",0.971609248171542
"280.04406","280.04406",0.971068860553536
"347.04421","347.04421",0.96866010317727
"413.24300","413.24300",0.959735562446489
"146.98536","146.98536",0.932983323722968
"700.50013","700.50013",0.920947918760329
"277.22185","277.22185",0.910809613528669
"483.29960","483.29960",0.904731421991885
"138.02092","138.02092",0.887532384845087
"319.23323","319.23323",0.882681018702429
"627.48248","627.48248",0.872084591176013
"401.99712","401.99712",0.866273133512909
"341.00442","341.00442",0.85292508880533
"229.01350","229.01350",0.848290020633621
"309.28412","309.28412",0.828373914094039
"865.51216","865.51216",0.817689586623891
"254.98179","254.98179",0.817225465441953
"177.03904","177.03904",0.817144549770204
"601.14408","601.14408",0.809534570724281
"680.58049","680.58049",0.804058421254963
"437.24879","437.24879",0.803980757966382
"168.99251","168.99251",0.79967372816495
"703.50439","703.50439",0.798070028666798
"267.23540","267.23540",0.786548558817662
"331.26575","331.26575",0.786120691220369
"309.21355","309.21355",0.78416527150595
"218.10617","218.10617",0.783068749609427
"366.11247","366.11247",0.77315642135168
"742.53727","742.53727",0.76914321545036
"724.49645","724.49645",0.768749334114721
"514.28949","514.28949",0.768200106910487
"341.20825","341.20825",0.756795286514574
"261.14184","261.14184",0.752589148438861
"111.02114","111.02114",0.750755166420339
"218.99676","218.99676",0.747829994044791
"277.03708","277.03708",0.747480310542593
"415.24590","415.24590",0.745739983665524
"113.02579","113.02579",0.745305308286188
"154.92916","154.92916",0.738085966368289
"867.52505","867.52505",0.736908236195831
"714.51493","714.51493",0.733969005786259
"530.30263","530.30263",0.730208271270355
"303.04699","303.04699",0.729499542116036
"572.48232","572.48232",0.721525938062454
"306.18350","306.18350",0.717667995187705
"393.26732","393.26732",0.708347434571791
"232.90499","232.90499",0.698244135037094
"304.06572","304.06572",0.692919801378168
"481.29290","481.29290",0.68618851733369
"166.02014","166.02014",0.678333842796135
"323.26436","323.26436",0.672744409349108
"325.11964","325.11964",0.658602020293671
"135.04614","135.04614",0.657635519197157
"269.25119","269.25119",0.651703913906058
"276.08043","276.08043",0.648053470648068
"944.57408","944.57408",0.646759819693088
"125.01257","125.01257",0.642693052883007
"652.24612","652.24612",0.628421233556272
"847.55953","847.55953",0.628013170302314
"285.21264","285.21264",0.618708754990009
"91.05633","91.05633",0.617264253418595
"317.21813","317.21813",0.616251642668468
"395.09829","395.09829",0.613684834562421
"188.98628","188.98628",0.613452054902341
"537.93286","537.93286",0.610986957484533
"546.33971","546.33971",0.607895664916714
"403.00789","403.00789",0.606972644148117
"266.08791","266.08791",0.602318977313814
"201.11561","201.11561",0.601834168866126
"354.07361","354.07361",0.60081904333176
"738.66713","738.66713",0.597743049027286
"191.02320","191.02320",0.59683031352661
"497.17494","497.17494",0.594183731342167
"307.19218","307.19218",0.593512182223465
"245.04547","245.04547",0.593023149656508
"143.03784","143.03784",0.592446173316895
"531.29626","531.29626",0.592291948195166
"272.01003","272.01003",0.591743828901072
"310.21628","310.21628",0.589527167761064
"256.06279","256.06279",0.588647129363338
"695.48115","695.48115",0.587344068497916
"235.17216","235.17216",0.583776253709874
"573.49007","573.49007",0.583564967981699
"164.95737","164.95737",0.58187364422012
"101.02600","101.02600",0.581574947927042
"871.57649","871.57649",0.575289797718288
"386.02100","386.02100",0.572189680057937
"200.13781","200.13781",0.566808160330808
"626.53658","626.53658",0.566670276672164
"167.99560","167.99560",0.561616044955352
"653.24858","653.24858",0.561329950322888
"419.97410","419.97410",0.556597005642601
"475.29056","475.29056",0.554154177666334
"363.20019","363.20019",0.550671199034372
"796.53231","796.53231",0.547987988613026
"91.02995","91.02995",0.547011388521462
"365.05778","365.05778",0.545371078635303
"843.53677","843.53677",0.542624399746894
"602.14338","602.14338",0.537130501487627
"457.33495","457.33495",0.536872630282932
"509.31570","509.31570",0.536133559938408
"175.07321","175.07321",0.535352383610174
"148.04385","148.04385",0.534416594137424
"265.02313","265.02313",0.532703234585053
"280.99546","280.99546",0.53195525630427
"477.31081","477.31081",0.531188817568242
"219.03732","219.03732",0.530532981720025
"866.51847","866.51847",0.528230784229669
"599.92317","599.92317",0.52813775835026
"448.01008","448.01008",0.526432005134221
"461.31843","461.31843",0.525981853733374
"173.11980","173.11980",0.525507255329292
"362.05713","362.05713",0.525156787562038
"126.00528","126.00528",0.525031343888384
"558.06411","558.06411",0.523910523713466
"459.30005","459.30005",0.523811040775092
"372.95314","372.95314",0.523064054039138
"209.12245","209.12245",0.522472675860769
"129.03895","129.03895",0.520901915526432
"251.20483","251.20483",0.518683663462313
"357.09568","357.09568",0.517151938896186
"702.50530","702.50530",0.514215425723852
"172.90100","172.90100",0.512403999277853
"701.20007","701.20007",0.512050954988889
"292.07548","292.07548",0.51127994266102
"109.04122","109.04122",0.511135589867728
"254.08180","254.08180",0.50967992570582
"653.49351","653.49351",0.509219251457241
"859.52898","859.52898",0.508713070066933
"678.51471","678.51471",0.503299040664409
"139.02517","139.02517",0.498540646554534
"129.02087","129.02087",0.49495818396054
"578.30928","578.30928",0.492995616689779
"749.52052","749.52052",0.491420371704891
"463.99499","463.99499",0.4897872300304
"209.06805","209.06805",0.485212570337872
"427.29445","427.29445",0.484778841008118
"211.00094","211.00094",0.484369856917318
"442.01068","442.01068",0.484076415155582
"208.98384","208.98384",0.483953037706156
"376.10807","376.10807",0.483414835720412
"701.26650","701.26650",0.482067169257549
"103.04137","103.04137",0.482048221617125
"149.04690","149.04690",0.480698821001924
"401.29450","401.29450",0.480328572487337
"271.00348","271.00348",0.476656932127143
"500.28519","500.28519",0.473955735271233
"438.25015","438.25015",0.473229287564658
"104.03596","104.03596",0.472649267529288
"743.54642","743.54642",0.471233472331965
"172.10645","172.10645",0.466425371676947
"188.09403","188.09403",0.461123923243917
"747.52206","747.52206",0.460693918728987
"750.53849","750.53849",0.457881637405069
"599.32883","599.32883",0.456636836475132
"278.12838","278.12838",0.452989888728503
"537.49234","537.49234",0.452843530882551
"108.02186","108.02186",0.450266941419924
"821.56261","821.56261",0.447986222963822
"118.99409","118.99409",0.44722551817215
"88.04100","88.04100",0.442538412271729
"282.09229","282.09229",0.439699184474191
"846.56509","846.56509",0.43896002849105
"684.60960","684.60960",0.437298194438572
"116.03913","116.03913",0.436643061505247
"110.02515","110.02515",0.435808183073194
"266.02040","266.02040",0.434880442123987
"434.94933","434.94933",0.431131313816033
"856.55620","856.55620",0.427321289117989
"760.49874","760.49874",0.421546874669625
"325.27649","325.27649",0.420337836500621
"334.00411","334.00411",0.417883863868376
"157.03681","157.03681",0.416111035917616
"307.11949","307.11949",0.411364169303001
"718.24478","718.24478",0.411348490432896
"265.22190","265.22190",0.410715452191884
"236.87718","236.87718",0.409526494576447
"763.21143","763.21143",0.407905134290073
"923.62474","923.62474",0.404256525878251
"292.17043","292.17043",0.401136745687266
"227.99952","227.99952",0.400347177974162
"1065.85148","1065.85148",0.399628455483743
"440.08219","440.08219",0.395244203853027
"611.52904","611.52904",0.394935705884178
"359.11698","359.11698",0.393049700532428
"481.97728","481.97728",0.391146864006341
"629.48699","629.48699",0.390351229651657
"233.15816","233.15816",0.389896131337617
"294.06970","294.06970",0.387172238115479
"147.07125","147.07125",0.385795790685036
"469.05293","469.05293",0.385604291102213
"435.30090","435.30090",0.38540007008897
"401.20991","401.20991",0.385173927117564
"186.04712","186.04712",0.383784282740935
"1036.79940","1036.79940",0.383260825820061
"686.14727","686.14727",0.382665505119022
"92.02657","92.02657",0.382432380847638
"314.99220","314.99220",0.381900351548167
"363.25667","363.25667",0.380520948928264
"389.13911","389.13911",0.378796689033721
"605.46719","605.46719",0.377745369731826
"469.30565","469.30565",0.377521521784624
"159.07943","159.07943",0.374814232043368
"247.06664","247.06664",0.374100729171542
"823.56414","823.56414",0.372439535307964
"205.01998","205.01998",0.372365960934657
"312.09080","312.09080",0.370068825243522
"387.01830","387.01830",0.368850560351083
"366.21107","366.21107",0.367475062354589
"524.96404","524.96404",0.367104882503787
"912.57728","912.57728",0.36580234613424
"355.18844","355.18844",0.365006346978717
"282.04056","282.04056",0.364619883454459
"442.26572","442.26572",0.364264131783989
"253.10760","253.10760",0.364021628949966
"358.28444","358.28444",0.36400952054184
