"","p1","Group","o1","Pixel"
"liver-1-neg-12-6",26.1104040687985,"case",-86.2260486388996,"liver-1-neg-12-6"
"liver-1-neg-13-10",10.7046893312302,"case",78.5583699799522,"liver-1-neg-13-10"
"liver-1-neg-13-6",30.801881769174,"case",-193.768383609102,"liver-1-neg-13-6"
"liver-1-neg-14-10",-18.250156049473,"case",-26.3084466448001,"liver-1-neg-14-10"
"liver-1-neg-14-9",19.2903392613426,"case",48.5930381286623,"liver-1-neg-14-9"
"liver-1-neg-15-10",19.8396280647691,"case",-6.8465594477608,"liver-1-neg-15-10"
"liver-1-neg-15-18",28.7341489861278,"case",233.442253847044,"liver-1-neg-15-18"
"liver-1-neg-15-23",-5.11193644898541,"case",159.023942538481,"liver-1-neg-15-23"
"liver-1-neg-15-41",-6.71846545008001,"case",168.732888060769,"liver-1-neg-15-41"
"liver-1-neg-15-8",11.1680443600434,"case",46.9694489336028,"liver-1-neg-15-8"
"liver-1-neg-15-9",-0.0801757795961056,"case",-34.5369890594712,"liver-1-neg-15-9"
"liver-1-neg-16-10",-20.133770512072,"case",44.1176064974474,"liver-1-neg-16-10"
"liver-1-neg-16-13",6.31341886538757,"case",52.4633305463895,"liver-1-neg-16-13"
"liver-1-neg-16-14",3.23632805659927,"case",143.93194288467,"liver-1-neg-16-14"
"liver-1-neg-16-15",-10.4779291690426,"case",96.7430706006959,"liver-1-neg-16-15"
"liver-1-neg-16-19",20.1064451480096,"case",213.767733248219,"liver-1-neg-16-19"
"liver-1-neg-16-20",20.0766282915068,"case",283.973099466134,"liver-1-neg-16-20"
"liver-1-neg-16-22",4.72420767005571,"case",225.120450019827,"liver-1-neg-16-22"
"liver-1-neg-16-23",20.8211637263133,"case",265.558171436995,"liver-1-neg-16-23"
"liver-1-neg-16-24",-21.4329521313737,"case",390.237491703655,"liver-1-neg-16-24"
"liver-1-neg-16-26",-26.2371533776498,"case",273.406898143434,"liver-1-neg-16-26"
"liver-1-neg-16-40",1.66493707542555,"case",170.067544762512,"liver-1-neg-16-40"
"liver-1-neg-16-49",22.2612875613509,"case",-71.0167709316213,"liver-1-neg-16-49"
"liver-1-neg-16-54",7.7039426564774,"case",-75.5261689231301,"liver-1-neg-16-54"
"liver-1-neg-16-7",12.1812111521689,"case",45.820353105322,"liver-1-neg-16-7"
"liver-1-neg-16-8",16.9926354009198,"case",2.51199679712353,"liver-1-neg-16-8"
"liver-1-neg-16-9",14.2910056924144,"case",-5.55322608380432,"liver-1-neg-16-9"
"liver-1-neg-17-10",-23.7506469223782,"case",-81.1036666517169,"liver-1-neg-17-10"
"liver-1-neg-17-11",-22.8183975204895,"case",53.2831474529434,"liver-1-neg-17-11"
"liver-1-neg-17-12",11.8867708034552,"case",-12.8045922719722,"liver-1-neg-17-12"
"liver-1-neg-17-13",-0.690655732296473,"case",-82.3089428627498,"liver-1-neg-17-13"
"liver-1-neg-17-14",8.86114280465611,"case",-105.158948729717,"liver-1-neg-17-14"
"liver-1-neg-17-15",4.30786645045439,"case",-142.167858821705,"liver-1-neg-17-15"
"liver-1-neg-17-16",-1.07236030957281,"case",-43.3740980925384,"liver-1-neg-17-16"
"liver-1-neg-17-17",-19.5977393339198,"case",-45.3136702640538,"liver-1-neg-17-17"
"liver-1-neg-17-18",-33.0464644742915,"case",3.69353004633158,"liver-1-neg-17-18"
"liver-1-neg-17-20",-20.9279116138834,"case",195.170872032048,"liver-1-neg-17-20"
"liver-1-neg-17-21",-6.47561590790589,"case",126.219953894112,"liver-1-neg-17-21"
"liver-1-neg-17-22",-23.2681343638493,"case",205.989278346121,"liver-1-neg-17-22"
"liver-1-neg-17-23",-9.38856267717988,"case",166.927215093331,"liver-1-neg-17-23"
"liver-1-neg-17-24",-8.40922940264151,"case",204.638015486965,"liver-1-neg-17-24"
"liver-1-neg-17-25",-29.1588545524002,"case",175.544365154625,"liver-1-neg-17-25"
"liver-1-neg-17-26",4.72730239564368,"case",260.24628309567,"liver-1-neg-17-26"
"liver-1-neg-17-27",11.4580995297133,"case",200.293452201515,"liver-1-neg-17-27"
"liver-1-neg-17-49",-28.9306944729363,"case",-106.099960983027,"liver-1-neg-17-49"
"liver-1-neg-17-7",16.1075962524498,"case",-65.9389670863468,"liver-1-neg-17-7"
"liver-1-neg-17-8",-7.1064656858579,"case",-3.70779750140004,"liver-1-neg-17-8"
"liver-1-neg-17-9",12.9377565742438,"case",2.1969099040135,"liver-1-neg-17-9"
"liver-1-neg-18-10",10.149211520792,"case",-181.415222636486,"liver-1-neg-18-10"
"liver-1-neg-18-11",9.87044464863919,"case",-133.282410410675,"liver-1-neg-18-11"
"liver-1-neg-18-12",-15.2935569967321,"case",-112.949460892596,"liver-1-neg-18-12"
"liver-1-neg-18-13",-27.7207987474958,"case",-28.2103263806521,"liver-1-neg-18-13"
"liver-1-neg-18-14",-4.01255094353819,"case",-60.7174374937825,"liver-1-neg-18-14"
"liver-1-neg-18-15",-27.7022272950707,"case",6.45717051373282,"liver-1-neg-18-15"
"liver-1-neg-18-16",-15.6712723942918,"case",35.8403743199712,"liver-1-neg-18-16"
"liver-1-neg-18-17",6.16554454138282,"case",116.461534247613,"liver-1-neg-18-17"
"liver-1-neg-18-18",-18.6512902183825,"case",62.0307919082799,"liver-1-neg-18-18"
"liver-1-neg-18-20",-14.4884973317878,"case",174.169555351322,"liver-1-neg-18-20"
"liver-1-neg-18-21",-21.0877732676212,"case",26.3010278853926,"liver-1-neg-18-21"
"liver-1-neg-18-22",-12.7642858681519,"case",-20.3408423300911,"liver-1-neg-18-22"
"liver-1-neg-18-25",-16.0876408036316,"case",-67.2945988980989,"liver-1-neg-18-25"
"liver-1-neg-18-26",-11.0218639982784,"case",42.9842915432004,"liver-1-neg-18-26"
"liver-1-neg-18-27",-7.57855805031813,"case",234.966688512173,"liver-1-neg-18-27"
"liver-1-neg-18-49",0.400305564019004,"case",19.086818131832,"liver-1-neg-18-49"
"liver-1-neg-18-50",28.0441226519753,"case",40.2834447583226,"liver-1-neg-18-50"
"liver-1-neg-18-7",7.67572919690494,"case",-158.432096492983,"liver-1-neg-18-7"
"liver-1-neg-18-8",7.60855764904399,"case",-118.300270276072,"liver-1-neg-18-8"
"liver-1-neg-18-9",14.9780980784203,"case",-191.318754929701,"liver-1-neg-18-9"
"liver-1-neg-19-10",-4.033754843051,"case",-57.7069403877133,"liver-1-neg-19-10"
"liver-1-neg-19-11",-7.54268782021383,"case",-25.1711741437577,"liver-1-neg-19-11"
"liver-1-neg-19-12",-19.9111582103742,"case",-7.74192987957845,"liver-1-neg-19-12"
"liver-1-neg-19-13",-9.40929341327603,"case",13.691746782117,"liver-1-neg-19-13"
"liver-1-neg-19-14",-22.9936627362754,"case",25.9011072628202,"liver-1-neg-19-14"
