"","Pixel","Group","PC1","PC2"
"1","liver-1-neg-12-6","case",-4.10349738951409,-19.4379895644489
"2","liver-1-neg-13-10","case",-0.452421946762566,2.54035400776034
"3","liver-1-neg-13-6","case",-22.1336602064489,2.80883199429033
"4","liver-1-neg-14-10","case",-7.14107624516644,-7.56425442105047
"5","liver-1-neg-14-9","case",2.51523688572631,0.735026491693724
"6","liver-1-neg-15-10","case",-3.97586217805643,5.07625137512964
"7","liver-1-neg-15-18","control",8.45434498487848,4.87928752154824
"8","liver-1-neg-15-23","control",11.7608260719785,-0.961049961055289
"9","liver-1-neg-15-41","control",12.1371739284904,-1.30576423184753
"10","liver-1-neg-15-8","case",1.99876167920309,-3.92436741117825
"11","liver-1-neg-15-9","case",-6.62677932258946,0.471584246185206
"12","liver-1-neg-16-10","case",-2.35283574717167,4.21049158951489
"13","liver-1-neg-16-13","case",2.05501658277448,3.71203210892824
"14","liver-1-neg-16-14","case",6.49960913094799,0.894001209240536
"15","liver-1-neg-16-15","case",0.598178091479781,-4.63221019633941
"16","liver-1-neg-16-19","control",10.9047155149823,2.10268314373825
"17","liver-1-neg-16-20","control",11.4010591078582,5.07607531342974
"18","liver-1-neg-16-22","control",14.8079930625213,1.26361889439943
"19","liver-1-neg-16-23","control",12.7949754156474,2.77951675290083
"20","liver-1-neg-16-24","control",15.2326077634401,0.480789175080082
"21","liver-1-neg-16-26","control",12.0999277291708,2.08671641853991
"22","liver-1-neg-16-40","control",8.33248233163346,-3.37447071285758
"23","liver-1-neg-16-49","case",-2.49560679546751,-6.75195247858981
"24","liver-1-neg-16-54","case",-3.35962795908365,-3.2471531008815
"25","liver-1-neg-16-7","case",-0.940215175130669,-3.89096705740666
"26","liver-1-neg-16-8","case",-3.62629453877432,-7.45507125591368
"27","liver-1-neg-16-9","case",-5.83053372987296,-1.07605319187634
"28","liver-1-neg-17-10","case",-8.64643794387147,-1.94309521976947
"29","liver-1-neg-17-11","case",0.214093608821125,3.10210750019898
"30","liver-1-neg-17-12","case",-4.8740444233538,3.85362086537118
"31","liver-1-neg-17-13","case",-9.15866379643563,3.15165191578095
"32","liver-1-neg-17-14","case",-11.2792497244787,1.85594099614931
"33","liver-1-neg-17-15","case",-12.7241736158759,1.66531433586394
"34","liver-1-neg-17-16","case",-6.15266806318972,1.83351979758863
"35","liver-1-neg-17-17","case",-1.43562072970571,-1.25609598067148
"36","liver-1-neg-17-18","case",1.02314097224493,-3.74004786278741
"37","liver-1-neg-17-20","control",7.66259831893462,1.32617952177537
"38","liver-1-neg-17-21","control",4.81768014399076,-0.561630033691044
"39","liver-1-neg-17-22","control",11.4774086632227,-2.66756228432021
"40","liver-1-neg-17-23","control",9.25187575916935,-2.03949580130748
"41","liver-1-neg-17-24","control",9.42227519594853,1.32167771148458
"42","liver-1-neg-17-25","control",7.86796118642541,-2.41658427609435
"43","liver-1-neg-17-26","control",13.7825204141373,-4.12116715417771
"44","liver-1-neg-17-27","control",14.9709122579961,-1.35106844857637
"45","liver-1-neg-17-49","case",-6.58765052996329,-18.6716670331988
"46","liver-1-neg-17-7","case",-7.01938088376264,-7.13894966056578
"47","liver-1-neg-17-8","case",-1.6374754491562,-2.93340061874012
"48","liver-1-neg-17-9","case",-5.444962158217,3.92580705865555
"49","liver-1-neg-18-10","case",-18.3068475596288,0.0816961992736225
"50","liver-1-neg-18-11","case",-13.9128198078651,1.2180846545293
"51","liver-1-neg-18-12","case",-11.5407717252137,0.950496633574867
"52","liver-1-neg-18-13","case",-2.75855504216931,-0.240165456576847
"53","liver-1-neg-18-14","case",-3.09981362306857,0.696971411213165
"54","liver-1-neg-18-15","case",-1.126701645141,-1.09962593424299
"55","liver-1-neg-18-16","case",0.600165587747395,-0.0157558496434709
"56","liver-1-neg-18-17","case",2.56353513021846,-0.974699469001649
"57","liver-1-neg-18-18","case",2.42419503710036,-0.348976136071302
"58","liver-1-neg-18-20","control",4.61638929277408,0.45077685076963
"59","liver-1-neg-18-21","control",1.7204634842991,-1.45237659729292
"60","liver-1-neg-18-22","control",5.34581670589092,5.72946016884558
"61","liver-1-neg-18-25","case",-8.93800937909965,-2.03750460004089
"62","liver-1-neg-18-26","control",2.40830311642332,-4.0923512779538
"63","liver-1-neg-18-27","control",25.0686270802652,-0.816859714074783
"64","liver-1-neg-18-49","case",1.2470025842239,-10.4678777314693
"65","liver-1-neg-18-50","case",-0.329737667640853,-7.58457457292813
"66","liver-1-neg-18-7","case",-15.2458771905228,-3.02154146756687
"67","liver-1-neg-18-8","case",-9.16595988811514,-3.54169429528275
"68","liver-1-neg-18-9","case",-20.2585912070306,5.1173530810079
"69","liver-1-neg-19-10","case",-6.22351374994027,2.63847866026079
"70","liver-1-neg-19-11","case",-1.72642801464866,1.60121243897231
"71","liver-1-neg-19-12","case",0.00394505274900037,-0.571329348426093
"72","liver-1-neg-19-13","case",-0.969667868468266,-0.995282362628469
"73","liver-1-neg-19-14","case",1.47892516490917,0.492966461989336
"74","liver-1-neg-19-15","case",0.309740851590913,-2.16448310182869
"75","liver-1-neg-19-18","case",3.40035695494744,-1.04622087651907
"76","liver-1-neg-19-20","control",6.19837907566678,-2.72264140099143
"77","liver-1-neg-19-21","control",5.92401770041992,1.0736738924696
"78","liver-1-neg-19-22","control",8.31656442134427,0.902294203659169
"79","liver-1-neg-19-25","case",0.945470053476696,-1.26780651492843
"80","liver-1-neg-19-26","case",-4.27423138605362,-2.74932754402473
"81","liver-1-neg-19-27","case",-5.32850555148406,-1.07264031464772
"82","liver-1-neg-19-49","case",1.99239115410645,-3.01091802002381
